pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numtoday,percentoday
59,British Columbia,Colombie-Britannique,14-03-2020,64,0,0,64,7033,11,0.208
48,Alberta,Alberta,14-03-2020,29,0,0,29,5247,6,0.261
47,Saskatchewan,Saskatchewan,14-03-2020,0,2,0,2,349,1,1.000
46,Manitoba,Manitoba,14-03-2020,1,3,0,4,837,1,0.333
35,Ontario,Ontario,14-03-2020,79,0,0,79,6646,0,0.000
24,Quebec,Québec,14-03-2020,17,0,0,17,1584,0,0.000
13,New Brunswick,Nouveau-Brunswick,14-03-2020,1,1,0,2,82,1,1.000
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,14-03-2020,0,0,0,0,62,0,0.000
12,Nova Scotia,Nouvelle-Écosse,14-03-2020,0,0,0,0,481,0,0.000
11,Prince Edward Island,Île-du-Prince-Édouard,14-03-2020,0,0,0,0,6,0,0.000
60,Yukon,Yukon,14-03-2020,0,0,0,0,0,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,14-03-2020,0,0,0,0,76,0,0.000
62,Nunavut,Nunavut,14-03-2020,0,0,0,0,6,0,0.000
99,Repatriated Travellers,Voyageurs rapatriés,14-03-2020,2,0,0,2,0,0,0.000
1,Canada,Canada,14-03-2020,193,6,0,199,22409,20,0.112
59,British Columbia,Colombie-Britannique,15-03-2020,73,0,0,73,7033,9,0.141
48,Alberta,Alberta,15-03-2020,39,0,0,39,5247,10,0.345
47,Saskatchewan,Saskatchewan,15-03-2020,0,2,0,2,349,0,0.000
46,Manitoba,Manitoba,15-03-2020,4,0,0,4,837,0,0.000
35,Ontario,Ontario,15-03-2020,103,0,0,103,8461,24,0.304
24,Quebec,Québec,15-03-2020,24,0,0,24,2337,7,0.412
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,15-03-2020,0,1,0,1,62,1,0.000
13,New Brunswick,Nouveau-Brunswick,15-03-2020,1,1,0,2,82,0,0.000
11,Prince Edward Island,Île-du-Prince-Édouard,15-03-2020,1,0,0,1,6,1,0.000
12,Nova Scotia,Nouvelle-Écosse,15-03-2020,0,0,0,0,481,0,0.000
60,Yukon,Yukon,15-03-2020,0,0,0,0,0,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,15-03-2020,0,0,0,0,76,0,0.000
62,Nunavut,Nunavut,15-03-2020,0,0,0,0,6,0,0.000
99,Repatriated Travellers,Voyageurs rapatriés,15-03-2020,4,0,0,4,0,2,1.000
1,Canada,Canada,15-03-2020,249,4,0,253,24977,54,0.271
59,British Columbia,Colombie-Britannique,16-03-2020,73,0,0,73,9926,0,0.000
48,Alberta,Alberta,16-03-2020,56,0,0,56,10238,17,0.436
47,Saskatchewan,Saskatchewan,16-03-2020,1,5,0,6,881,4,2.000
46,Manitoba,Manitoba,16-03-2020,4,3,0,7,1848,3,0.750
35,Ontario,Ontario,16-03-2020,145,0,0,145,10178,42,0.408
24,Quebec,Québec,16-03-2020,39,0,0,39,3129,15,0.625
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,16-03-2020,0,1,0,1,161,0,0.000
13,New Brunswick,Nouveau-Brunswick,16-03-2020,1,5,0,6,143,4,2.000
12,Nova Scotia,Nouvelle-Écosse,16-03-2020,0,3,0,3,1075,3,0.000
11,Prince Edward Island,Île-du-Prince-Édouard,16-03-2020,1,0,0,1,6,0,0.000
60,Yukon,Yukon,16-03-2020,0,0,0,0,0,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,16-03-2020,0,0,0,0,138,0,0.000
99,Repatriated Travellers,Voyageurs rapatriés,16-03-2020,4,0,0,4,0,0,0.000
62,Nunavut,Nunavut,16-03-2020,0,0,0,0,7,0,0.000
1,Canada,Canada,16-03-2020,324,17,0,341,37730,88,0.348
59,British Columbia,Colombie-Britannique,17-03-2020,103,0,0,103,11612,30,0.411
48,Alberta,Alberta,17-03-2020,74,0,0,74,11487,18,0.321
47,Saskatchewan,Saskatchewan,17-03-2020,2,5,0,7,1066,1,0.167
46,Manitoba,Manitoba,17-03-2020,7,0,0,7,2216,0,0.000
35,Ontario,Ontario,17-03-2020,177,0,0,177,11167,32,0.221
24,Quebec,Québec,17-03-2020,50,0,0,50,4870,11,0.282
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,17-03-2020,0,1,0,1,161,0,0.000
13,New Brunswick,Nouveau-Brunswick,17-03-2020,2,5,0,7,295,1,0.167
12,Nova Scotia,Nouvelle-Écosse,17-03-2020,0,5,0,5,1075,2,0.667
11,Prince Edward Island,Île-du-Prince-Édouard,17-03-2020,1,0,0,1,75,0,0.000
60,Yukon,Yukon,17-03-2020,0,0,0,0,0,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,17-03-2020,0,0,0,0,145,0,0.000
62,Nunavut,Nunavut,17-03-2020,0,0,0,0,7,0,0.000
99,Repatriated Travellers,Voyageurs rapatriés,17-03-2020,8,0,0,8,0,4,1.000
1,Canada,Canada,17-03-2020,424,16,0,440,44176,99,0.290
59,British Columbia,Colombie-Britannique,18-03-2020,186,0,0,186,13388,83,0.806
48,Alberta,Alberta,18-03-2020,97,0,0,97,13686,23,0.311
47,Saskatchewan,Saskatchewan,18-03-2020,2,6,0,8,1910,1,0.143
46,Manitoba,Manitoba,18-03-2020,8,7,0,15,2739,8,1.143
35,Ontario,Ontario,18-03-2020,189,0,0,189,13869,12,0.068
24,Quebec,Québec,18-03-2020,74,0,0,74,5880,24,0.480
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,18-03-2020,0,3,0,3,161,2,2.000
13,New Brunswick,Nouveau-Brunswick,18-03-2020,2,6,0,8,408,1,0.143
12,Nova Scotia,Nouvelle-Écosse,18-03-2020,1,6,0,7,1278,2,0.400
60,Yukon,Yukon,18-03-2020,0,0,0,0,0,0,0.000
11,Prince Edward Island,Île-du-Prince-Édouard,18-03-2020,1,0,0,1,75,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,18-03-2020,0,0,0,0,145,0,0.000
99,Repatriated Travellers,Voyageurs rapatriés,18-03-2020,9,0,0,9,0,1,0.125
62,Nunavut,Nunavut,18-03-2020,0,0,0,0,7,0,0.000
1,Canada,Canada,18-03-2020,569,28,0,597,53546,157,0.357
59,British Columbia,Colombie-Britannique,19-03-2020,271,0,0,271,16382,85,0.457
48,Alberta,Alberta,19-03-2020,146,0,0,146,16507,49,0.505
47,Saskatchewan,Saskatchewan,19-03-2020,8,12,0,20,1910,12,1.500
46,Manitoba,Manitoba,19-03-2020,17,0,0,17,3189,2,0.133
35,Ontario,Ontario,19-03-2020,258,0,0,258,18488,69,0.365
24,Quebec,Québec,19-03-2020,121,0,0,121,6757,47,0.635
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,19-03-2020,1,2,0,3,267,0,0.000
13,New Brunswick,Nouveau-Brunswick,19-03-2020,7,4,0,11,527,3,0.375
12,Nova Scotia,Nouvelle-Écosse,19-03-2020,5,9,0,14,1520,7,1.000
11,Prince Edward Island,Île-du-Prince-Édouard,19-03-2020,2,0,0,2,75,1,1.000
61,Northwest Territories,Territoires du Nord-Ouest,19-03-2020,0,0,0,0,221,0,0.000
62,Nunavut,Nunavut,19-03-2020,0,0,0,0,8,0,0.000
60,Yukon,Yukon,19-03-2020,0,0,0,0,0,0,0.000
99,Repatriated Travellers,Voyageurs rapatriés,19-03-2020,10,0,0,10,0,1,0.111
1,Canada,Canada,19-03-2020,846,27,0,873,65851,276,0.462
59,British Columbia,Colombie-Britannique,20-03-2020,271,0,8,271,18792,0,0.000
48,Alberta,Alberta,20-03-2020,195,0,1,195,19782,49,0.336
47,Saskatchewan,Saskatchewan,20-03-2020,8,18,0,26,1910,6,0.300
46,Manitoba,Manitoba,20-03-2020,17,0,0,17,3367,0,0.000
35,Ontario,Ontario,20-03-2020,311,0,2,311,21499,53,0.205
24,Quebec,Québec,20-03-2020,139,0,1,139,8539,18,0.149
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,20-03-2020,3,1,0,4,287,1,0.333
13,New Brunswick,Nouveau-Brunswick,20-03-2020,7,4,0,11,640,0,0.000
12,Nova Scotia,Nouvelle-Écosse,20-03-2020,5,10,0,15,1647,1,0.071
11,Prince Edward Island,Île-du-Prince-Édouard,20-03-2020,2,0,0,2,75,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,20-03-2020,0,0,0,0,268,0,0.000
62,Nunavut,Nunavut,20-03-2020,0,0,0,0,8,0,0.000
60,Yukon,Yukon,20-03-2020,0,0,0,0,0,0,0.000
99,Repatriated Travellers,Voyageurs rapatriés,20-03-2020,13,0,0,13,0,3,0.300
1,Canada,Canada,20-03-2020,971,33,12,1004,76814,131,0.150
59,British Columbia,Colombie-Britannique,21-03-2020,424,0,10,424,20417,153,0.565
48,Alberta,Alberta,21-03-2020,226,0,1,226,23060,31,0.159
47,Saskatchewan,Saskatchewan,21-03-2020,25,19,0,44,3807,18,0.692
46,Manitoba,Manitoba,21-03-2020,11,8,0,19,3668,2,0.118
35,Ontario,Ontario,21-03-2020,377,0,3,377,25470,66,0.212
24,Quebec,Québec,21-03-2020,202,19,4,221,8539,82,0.590
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,21-03-2020,3,3,0,6,299,2,0.500
13,New Brunswick,Nouveau-Brunswick,21-03-2020,9,8,0,17,865,6,0.545
12,Nova Scotia,Nouvelle-Écosse,21-03-2020,9,12,0,21,1956,6,0.400
11,Prince Edward Island,Île-du-Prince-Édouard,21-03-2020,2,0,0,2,75,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,21-03-2020,1,0,0,1,301,1,0.000
62,Nunavut,Nunavut,21-03-2020,0,0,0,0,10,0,0.000
60,Yukon,Yukon,21-03-2020,0,0,0,0,416,0,0.000
99,Repatriated Travellers,Voyageurs rapatriés,21-03-2020,13,0,0,13,0,0,0.000
1,Canada,Canada,21-03-2020,1302,69,18,1371,88883,367,0.366
59,British Columbia,Colombie-Britannique,22-03-2020,424,0,10,424,22135,0,0.000
48,Alberta,Alberta,22-03-2020,259,0,1,259,26999,33,0.146
47,Saskatchewan,Saskatchewan,22-03-2020,33,19,0,52,4407,8,0.182
46,Manitoba,Manitoba,22-03-2020,11,8,0,19,3936,0,0.000
35,Ontario,Ontario,22-03-2020,425,0,5,425,28570,48,0.127
24,Quebec,Québec,22-03-2020,221,0,4,221,8539,0,0.000
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,22-03-2020,3,6,0,9,299,3,0.500
13,New Brunswick,Nouveau-Brunswick,22-03-2020,9,8,0,17,924,0,0.000
12,Nova Scotia,Nouvelle-Écosse,22-03-2020,28,0,0,28,2210,7,0.333
11,Prince Edward Island,Île-du-Prince-Édouard,22-03-2020,3,0,0,3,75,1,0.500
61,Northwest Territories,Territoires du Nord-Ouest,22-03-2020,1,0,0,1,301,0,0.000
62,Nunavut,Nunavut,22-03-2020,0,0,0,0,13,0,0.000
60,Yukon,Yukon,22-03-2020,0,0,0,0,416,0,0.000
99,Repatriated Travellers,Voyageurs rapatriés,22-03-2020,13,0,0,13,0,0,0.000
1,Canada,Canada,22-03-2020,1430,41,20,1471,98824,100,0.073
59,British Columbia,Colombie-Britannique,23-03-2020,472,0,13,472,23460,48,0.113
48,Alberta,Alberta,23-03-2020,301,0,1,301,29757,42,0.162
47,Saskatchewan,Saskatchewan,23-03-2020,65,1,0,66,5130,14,0.269
46,Manitoba,Manitoba,23-03-2020,11,9,0,20,4133,1,0.053
35,Ontario,Ontario,23-03-2020,503,0,6,503,30688,78,0.184
24,Quebec,Québec,23-03-2020,221,407,4,628,8539,407,1.842
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,23-03-2020,4,20,0,24,894,15,1.667
13,New Brunswick,Nouveau-Brunswick,23-03-2020,9,8,0,17,1139,0,0.000
12,Nova Scotia,Nouvelle-Écosse,23-03-2020,41,0,0,41,2408,13,0.464
11,Prince Edward Island,Île-du-Prince-Édouard,23-03-2020,3,0,0,3,206,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,23-03-2020,1,0,0,1,364,0,0.000
62,Nunavut,Nunavut,23-03-2020,0,0,0,0,13,0,0.000
60,Yukon,Yukon,23-03-2020,2,0,0,2,416,2,0.000
99,Repatriated Travellers,Voyageurs rapatriés,23-03-2020,13,0,0,13,0,0,0.000
1,Canada,Canada,23-03-2020,1646,445,24,2091,107147,620,0.421
59,British Columbia,Colombie-Britannique,24-03-2020,617,0,13,617,26305,145,0.307
48,Alberta,Alberta,24-03-2020,358,0,2,358,32776,57,0.189
47,Saskatchewan,Saskatchewan,24-03-2020,72,0,0,72,5604,6,0.091
46,Manitoba,Manitoba,24-03-2020,11,10,0,21,4406,1,0.050
35,Ontario,Ontario,24-03-2020,588,0,8,588,34727,85,0.169
24,Quebec,Québec,24-03-2020,221,792,4,1013,15071,385,0.613
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,24-03-2020,4,31,0,35,1087,11,0.458
13,New Brunswick,Nouveau-Brunswick,24-03-2020,18,0,0,18,1261,1,0.059
12,Nova Scotia,Nouvelle-Écosse,24-03-2020,51,0,0,51,2641,10,0.244
11,Prince Edward Island,Île-du-Prince-Édouard,24-03-2020,3,0,0,3,206,0,0.000
60,Yukon,Yukon,24-03-2020,2,0,0,2,416,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,24-03-2020,1,0,0,1,481,0,0.000
62,Nunavut,Nunavut,24-03-2020,0,0,0,0,81,0,0.000
99,Repatriated Travellers,Voyageurs rapatriés,24-03-2020,13,0,0,13,0,0,0.000
1,Canada,Canada,24-03-2020,1959,833,27,2792,125062,701,0.335
59,British Columbia,Colombie-Britannique,25-03-2020,659,0,14,659,28344,42,0.068
48,Alberta,Alberta,25-03-2020,419,0,2,419,35508,61,0.170
47,Saskatchewan,Saskatchewan,25-03-2020,86,0,0,86,6111,14,0.194
46,Manitoba,Manitoba,25-03-2020,11,24,0,35,4740,14,0.667
35,Ontario,Ontario,25-03-2020,688,0,13,688,38040,100,0.170
24,Quebec,Québec,25-03-2020,1339,0,6,1339,27828,326,0.322
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,25-03-2020,67,0,0,67,1235,32,0.914
13,New Brunswick,Nouveau-Brunswick,25-03-2020,26,0,0,26,1680,8,0.444
12,Nova Scotia,Nouvelle-Écosse,25-03-2020,68,0,0,68,3008,17,0.333
11,Prince Edward Island,Île-du-Prince-Édouard,25-03-2020,5,0,0,5,301,2,0.667
61,Northwest Territories,Territoires du Nord-Ouest,25-03-2020,1,0,0,1,481,0,0.000
62,Nunavut,Nunavut,25-03-2020,0,0,0,0,97,0,0.000
60,Yukon,Yukon,25-03-2020,3,0,0,3,416,1,0.500
99,Repatriated travellers,Voyageurs rapatriés,25-03-2020,13,0,0,13,0,0,0.000
1,Canada,Canada,25-03-2020,3385,24,35,3409,147789,617,0.221
59,British Columbia,Colombie-Britannique,26-03-2020,725,0,14,725,30238,66,0.100
48,Alberta,Alberta,26-03-2020,486,0,2,486,36600,67,0.160
47,Saskatchewan,Saskatchewan,26-03-2020,95,0,0,95,6729,9,0.105
46,Manitoba,Manitoba,26-03-2020,11,25,0,36,5429,1,0.029
35,Ontario,Ontario,26-03-2020,858,0,15,858,41217,170,0.247
24,Quebec,Québec,26-03-2020,1629,0,8,1629,33311,290,0.217
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,26-03-2020,82,0,0,82,1447,15,0.224
13,New Brunswick,Nouveau-Brunswick,26-03-2020,33,0,0,33,1849,7,0.269
12,Nova Scotia,Nouvelle-Écosse,26-03-2020,73,0,0,73,3417,5,0.074
11,Prince Edward Island,Île-du-Prince-Édouard,26-03-2020,9,0,0,9,353,4,0.800
61,Northwest Territories,Territoires du Nord-Ouest,26-03-2020,1,0,0,1,481,0,0.000
62,Nunavut,Nunavut,26-03-2020,0,0,0,0,116,0,0.000
60,Yukon,Yukon,26-03-2020,3,0,0,3,416,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,26-03-2020,13,0,0,13,0,0,0.000
1,Canada,Canada,26-03-2020,4018,25,39,4043,161603,634,0.186
59,British Columbia,Colombie-Britannique,27-03-2020,725,0,14,725,31536,0,0.000
48,Alberta,Alberta,27-03-2020,542,0,2,542,38215,56,0.115
47,Saskatchewan,Saskatchewan,27-03-2020,104,0,0,104,7360,9,0.095
46,Manitoba,Manitoba,27-03-2020,25,14,1,39,6022,3,0.083
35,Ontario,Ontario,27-03-2020,993,0,18,993,43651,135,0.157
24,Quebec,Québec,27-03-2020,2021,0,18,2021,34356,392,0.241
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,27-03-2020,102,0,0,102,1684,20,0.244
13,New Brunswick,Nouveau-Brunswick,27-03-2020,45,0,0,45,2179,12,0.364
12,Nova Scotia,Nouvelle-Écosse,27-03-2020,90,0,0,90,3946,17,0.233
11,Prince Edward Island,Île-du-Prince-Édouard,27-03-2020,11,0,0,11,422,2,0.222
61,Northwest Territories,Territoires du Nord-Ouest,27-03-2020,1,0,0,1,545,0,0.000
62,Nunavut,Nunavut,27-03-2020,0,0,0,0,125,0,0.000
60,Yukon,Yukon,27-03-2020,3,0,0,3,603,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,27-03-2020,13,0,0,13,0,0,0.000
1,Canada,Canada,27-03-2020,4675,14,53,4689,170644,646,0.160
59,British Columbia,Colombie-Britannique,28-03-2020,884,0,16,884,31536,159,0.219
48,Alberta,Alberta,28-03-2020,542,0,2,542,38215,0,0.000
47,Saskatchewan,Saskatchewan,28-03-2020,134,0,0,134,8009,30,0.288
46,Manitoba,Manitoba,28-03-2020,25,39,1,64,6931,25,0.641
35,Ontario,Ontario,28-03-2020,993,0,18,993,45836,0,0.000
24,Quebec,Québec,28-03-2020,2498,0,22,2498,46087,477,0.236
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,28-03-2020,120,0,0,120,1907,18,0.176
13,New Brunswick,Nouveau-Brunswick,28-03-2020,51,0,0,51,2512,6,0.133
12,Nova Scotia,Nouvelle-Écosse,28-03-2020,110,0,0,110,4487,20,0.222
11,Prince Edward Island,Île-du-Prince-Édouard,28-03-2020,11,0,0,11,422,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,28-03-2020,1,0,0,1,740,0,0.000
62,Nunavut,Nunavut,28-03-2020,0,0,0,0,125,0,0.000
60,Yukon,Yukon,28-03-2020,4,0,0,4,641,1,0.333
99,Repatriated travellers,Voyageurs rapatriés,28-03-2020,13,0,0,13,0,0,0.000
1,Canada,Canada,28-03-2020,5386,39,59,5425,187448,736,0.157
59,British Columbia,Colombie-Britannique,29-03-2020,884,0,17,884,33476,0,0.000
48,Alberta,Alberta,29-03-2020,621,0,2,621,44097,79,0.146
47,Saskatchewan,Saskatchewan,29-03-2020,134,0,0,134,8822,0,0.000
46,Manitoba,Manitoba,29-03-2020,69,3,1,72,7876,8,0.125
35,Ontario,Ontario,29-03-2020,1355,0,19,1355,52002,362,0.365
24,Quebec,Québec,29-03-2020,2840,0,22,2840,52204,342,0.137
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,29-03-2020,135,0,0,135,2107,15,0.125
13,New Brunswick,Nouveau-Brunswick,29-03-2020,66,0,0,66,2847,15,0.294
12,Nova Scotia,Nouvelle-Écosse,29-03-2020,122,0,0,122,4984,12,0.109
11,Prince Edward Island,Île-du-Prince-Édouard,29-03-2020,11,0,0,11,477,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,29-03-2020,1,0,0,1,740,0,0.000
62,Nunavut,Nunavut,29-03-2020,0,0,0,0,125,0,0.000
60,Yukon,Yukon,29-03-2020,4,0,0,4,678,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,29-03-2020,13,0,0,13,0,0,0.000
1,Canada,Canada,29-03-2020,6255,3,61,6258,210435,833,0.154
59,British Columbia,Colombie-Britannique,30-03-2020,960,0,19,960,34969,76,0.086
48,Alberta,Alberta,30-03-2020,690,0,8,690,46057,69,0.111
